team,fall_reg1,fall_reg2,fall_reg3,fall_maj,win_reg1,win_reg2,win_reg3,win_maj,spr_reg1,spr_reg2,spr_reg3,spr_maj
G2 Esports,150,250,301,220,190,351,260,701,401,401,350,260
FaZe Clan,301,110,200,400,260,260,220,440,300,180,401,260
NRG,250,301,200,500,351,300,300,220,130,250,130,0
Version1,200,150,40,0,220,110,351,380,210,350,300,600
Spacestation Gaming,200,150,150,0,300,220,110,520,350,130,250,420
OpTic Gaming,150,200,250,140,60,160,110,0,210,300,210,360
Complexity Gaming,150,200,150,300,160,60,190,0,130,210,210,0
Oxygen Esports,0,0,150,0,190,190,190,0,130,80,180,0
Rogue,70,70,70,0,110,190,110,0,180,130,130,0
Ghost Gaming,110,150,150,0,60,60,0,0,250,80,80,0
Soniqs,110,70,0,0,110,60,110,0,80,180,130,0
XSET,150,150,70,0,60,160,60,0,0,130,0,0
Torrent,110,110,0,0,60,0,160,0,0,210,0,0
Akrew,0,110,40,0,110,0,0,0,180,0,180,0
Stromboli,70,0,110,0,0,110,60,0,80,0,80,0
Shopify Rebellion,70,0,0,0,160,110,60,0,0,0,80,0
Randoms,0,0,0,0,0,0,160,0,0,0,130,0
AXLE0R8,0,0,70,0,0,0,0,0,130,80,0,0
AllMid,0,0,0,0,0,0,60,0,80,80,0,0
Pittsburgh Knights,0,0,0,0,0,0,0,0,0,130,80,0
eUnited,0,40,110,0,0,0,0,0,0,0,0,0
Limitless,40,0,0,0,0,110,0,0,0,0,0,0
Ducks on Quack,0,0,110,0,0,0,0,0,0,0,0,0
Gentlemen,40,0,0,0,0,60,0,0,0,0,0,0
Friends,0,0,0,0,0,0,0,0,80,0,0,0
Nefarious,0,40,0,0,0,0,0,0,0,0,0,0
sup,0,70,0,0,110,0,0,0,-180,0,0,0
